"STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER","xmin","ymin","xmax","ymax","state","COVIDExcRatio2020","COVIDExcRatio2021","pounderrep2020","pounderrep2021","excCDR2020","excCDR2021","COVIDCDR2020","COVIDCDR2021","relativeExc2020","relativeExc2021"
47,1325873,"0400000US47",47,"TN","Tennessee",0,106791646253,2322913374,-140,20,-73,60,"Tennessee",0.676473538163218,0.678041543026706,32.3526461836782,32.1958456973294,216.346136459145,251.52199224249,146.35243639846,170.542359725249,20.4409242187126,23.5680182906328
27,662849,"0400000US27",27,"MN","Minnesota",0,206232157570,18949864226,-140,20,-73,60,"Minnesota",0.932157499806606,0.752784678259476,6.78425001933937,24.7215321740524,113.446484361288,109.32386531482,105.749991224067,82.2973307770992,13.9991986224971,13.377858299117701
17,1779784,"0400000US17",17,"IL","Illinois",0,143778461053,6216594318,-140,20,-73,60,"Illinois",0.768177028451001,0.762403789224393,23.1822971548999,23.7596210775607,193.428283097038,133.117256205085,148.587163727862,101.489100541911,22.2717671908003,15.206763363314698
30,767982,"0400000US30",30,"MT","Montana",0,376973673895,3866689601,-140,20,-73,60,"Montana",0.89025974025974,0.741843661046639,10.974025974026,25.8156338953361,113.384528165748,165.35239212449,100.941680594312,122.665623936451,12.5950764701071,18.2322647610683
11,1702382,"0400000US11",11,"DC","District of Columbia",0,158316124,18709762,-140,20,-73,60,"District of Columbia",0.718487394957983,0.525212835625409,28.151260504201694,47.4787164374591,206.760548697322,113.451802672618,148.554848013622,59.5863429885003,28.361469712015904,15.435156171030002
6,1779778,"0400000US06",6,"CA","California",0,403671196038,20294133830,-140,20,-73,60,"California",0.767838254000134,0.66268932824604,23.2161745999866,33.731067175396,189.251330251743,110.105323781451,145.314410987701,72.9656230530428,27.286776956127802,15.7213955669627
21,1779786,"0400000US21",21,"KY","Kentucky",0,102282796080,2368025703,-140,20,-73,60,"Kentucky",0.731826435414188,0.711870471419626,26.8173564585812,28.8129528580374,177.458828685062,247.948090373852,129.869062029366,176.50692398203,16.0856909766636,22.2982407148841
10,1779781,"0400000US10",10,"DE","Delaware",0,5046731558,1399179670,-140,20,-73,60,"Delaware",0.740145228215768,0.694856421584096,25.9854771784232,30.5143578415904,194.577661515607,158.17982885232,144.015727688159,109.912269843108,19.9813452171209,16.0691648496527
48,1779801,"0400000US48",48,"TX","Texas",0,676680588914,18979352230,-140,20,-73,60,"Texas",0.762823505869797,0.748148576718352,23.7176494130203,25.1851423281648,205.255264500782,175.872648285874,156.573540464719,131.578871498764,28.809023957877898,24.4613751621654
55,1779806,"0400000US55",55,"WI","Wisconsin",0,140292246684,29343721650,-140,20,-73,60,"Wisconsin",0.779226910593095,0.80455116571269,22.0773089406905,19.544883428731,144.021113690752,121.501715747389,112.225127481421,97.7543470406538,15.4414645926169,12.9130536676822
29,1779791,"0400000US29",29,"MO","Missouri",0,178052563675,2487215790,-140,20,-73,60,"Missouri",0.721079793568877,0.735779578044448,27.892020643112296,26.4220421955552,204.667990170087,187.173866788449,147.581952102003,137.718708726553,19.926905673512,18.0823312835377
36,1779796,"0400000US36",36,"NY","New York",0,122049520861,19256750161,-140,20,-73,60,"New York",0.907826086956522,1.10855114747195,9.21739130434782,0.0,249.865002971158,83.6089702489172,226.833967914686,92.6848199083855,30.7908682994085,10.207765970838501
19,1779785,"0400000US19",19,"IA","Iowa",0,144659688848,1085996889,-140,20,-73,60,"Iowa",1.01272314823947,0.902268760907504,0.0,9.77312390924956,159.173572194689,107.692090833486,161.198761149529,97.1672093558679,16.2257749611919,10.9035552313596
41,1155107,"0400000US41",41,"OR","Oregon",0,248628426864,6170953359,-140,20,-73,60,"Oregon",0.72037037037037,0.549248523886205,27.962962962963,45.0751476113795,63.7045317752306,175.527690129088,45.8908571491939,96.4083247045566,7.0654733867169,19.2827200745226
51,1779803,"0400000US51",51,"VA","Virginia",0,102258180558,8528070310,-140,20,-73,60,"Virginia",0.666977511567017,0.613121216387442,33.3022488432983,38.6878783612558,159.30761952214,161.991498810207,106.254599642542,99.3204247949392,19.2637477285761,19.4124077616835
24,1714934,"0400000US24",24,"MD","Maryland",0,25151895765,6979171386,-140,20,-73,60,"Maryland",0.751038911975822,0.820737039350406,24.8961088024178,17.9262960649594,172.030376002055,103.856002776413,129.201506419375,85.2384682374806,20.5197775150681,12.2858513189448
22,1629543,"0400000US22",22,"LA","Louisiana",0,111913975425,23737664982,-140,20,-73,60,"Louisiana",0.628999319264806,0.523180545836249,37.1000680735194,47.6819454163751,284.358782881606,247.017723392008,178.861480859499,129.234867355458,28.798274848069,24.8208780233619
16,1779783,"0400000US16",16,"ID","Idaho",0,214049923496,2391577745,-140,20,-73,60,"Idaho",1.09041652556722,0.819518500565519,0.0,18.0481499434481,80.0380756819228,163.45574334728,87.2748403981684,133.955005696785,9.70328262083922,19.6233235042329
13,1705317,"0400000US13",13,"GA","Georgia",0,149486234922,4418749570,-140,20,-73,60,"Georgia",0.654251550044287,0.635099518313187,34.574844995571304,36.4900481686813,210.649498266106,203.970595459555,137.817760756651,129.541626926417,25.8254892317546,24.7862766520618
2,1785533,"0400000US02",2,"AK","Alaska",0,1478941109938,245380162784,-140,20,-73,60,"Alaska",0.210617928633594,0.342422556112039,78.9382071366406,65.7577443887961,120.597128969655,283.619811614576,25.3999175027473,97.1178208570779,18.8608010505581,44.0837353831057
26,1779789,"0400000US26",26,"MI","Michigan",0,146614604273,103872203398,-140,20,-73,60,"Michigan",0.7416700833675,0.790001060332945,25.83299166325,20.9998939667055,181.945659294283,187.620582680179,134.943652297145,148.220459257626,18.1825862660219,18.6008441481598
20,481813,"0400000US20",20,"KS","Kansas",0,211753777874,1345707497,-140,20,-73,60,"Kansas",0.847528290649196,0.749580888516345,15.2471709350804,25.041911148365497,171.772906464418,162.60206925785,145.582397795632,121.883403548896,18.0777375013459,16.9894616918257
4,1779777,"0400000US04",4,"AZ","Arizona",0,294360991275,858853288,-140,20,-73,60,"Arizona",0.645191682182193,0.57112833311441,35.480831781780694,42.887166688559,300.065843650207,254.274299878945,193.599986430096,145.223257043695,35.8608650883671,30.062153987095403
53,1779804,"0400000US53",53,"WA","Washington",0,172117960159,12549742084,-140,20,-73,60,"Washington",1.07043314500942,0.633501997336884,0.0,36.6498002663116,51.6833188827682,121.351614606662,55.3235375762061,76.8764902333764,6.62144300072325,15.395780203199699
46,1785534,"0400000US46",46,"SD","South Dakota",0,196345992286,3383664203,-140,20,-73,60,"South Dakota",0.86547556489753,0.619469026548673,13.452443510247,38.05309734513271,211.045334267862,118.257087714041,182.654579894466,73.2566030086982,22.711540756653502,12.649502150474301
18,448508,"0400000US18",18,"IN","Indiana",0,92788998225,1541613641,-140,20,-73,60,"Indiana",0.847800007739639,0.778598264023837,15.2199992260361,22.1401735976163,190.573580680009,170.196521602618,161.568283175482,132.514716262694,19.2079266796994,17.0138200092574
25,606926,"0400000US25",25,"MA","Massachusetts",0,20204396898,7130653806,-140,20,-73,60,"Massachusetts",1.31002040353661,2.66003016591252,0.0,0.0,126.033144631248,23.7117950408229,165.105990988816,63.0740900965238,14.4336643706746,2.68989524420029
56,1779807,"0400000US56",56,"WY","Wyoming",0,251458712277,1867503715,-140,20,-73,60,"Wyoming",0.50904278782532,0.615384615384615,49.095721217468,38.4615384615385,196.160888270496,279.737079983892,99.8542854275044,172.145895374703,22.7496236828901,32.141793267798604
15,1779782,"0400000US15",15,"HI","Hawaii",0,16634147166,11777652106,-140,20,-73,60,"Hawaii",1.87906976744186,0.567467027392628,0.0,43.2532972607372,14.873344821551,102.455679343175,27.9480525949144,58.1402197963637,1.83306334725892,12.530191957286299
33,1779794,"0400000US33",33,"NH","New Hampshire",0,23190113978,1025973001,-140,20,-73,60,"New Hampshire",1.08995215311005,0.940920938314509,0.0,5.90790616854909,75.9160230755651,82.9629672343131,82.7448328067643,78.0615929754657,8.029197080291969,8.697294846607221
1,1779775,"0400000US01",1,"AL","Alabama",0,131175460655,4591915034,-140,20,-73,60,"Alabama",0.752245395037296,0.729873065553817,24.7754604962704,27.012693444618304,262.270341272844,228.319475758474,197.291656477357,166.644235697478,23.5431151888754,20.3506785328827
23,1779787,"0400000US23",23,"ME","Maine",0,79888428972,11744937116,-140,20,-73,60,"Maine",1.19233971690258,0.656003708854891,0.0,34.3996291145109,44.1248870241236,157.354173824932,52.6118553027019,103.224921632953,3.93860886105009,13.921518006970398
44,1219835,"0400000US44",44,"RI","Rhode Island",0,2677759219,1323691129,-140,20,-73,60,"Rhode Island",1.32625482625483,2.16666666666667,0.0,0.0,142.488673800881,36.1412465627028,188.976291315068,78.3060342191894,14.577861163226999,3.66768546818561
35,897535,"0400000US35",35,"NM","New Mexico",0,314198560935,726482115,-140,20,-73,60,"New Mexico",0.694177922682813,0.556810106592973,30.582207731718704,44.3189893407027,253.809386904334,299.249949435855,176.188872958649,166.62539624332,27.834677314802803,32.5653750224988
5,68085,"0400000US05",5,"AR","Arkansas",0,134660850501,3121867339,-140,20,-73,60,"Arkansas",0.739188388625592,0.665510012289453,26.0811611374408,33.4489987710547,223.951908715716,228.727877485326,165.542650533196,152.2206925562,20.483572490367997,20.7836891686825
12,294478,"0400000US12",12,"FL","Florida",0,138958484319,45975808217,-140,20,-73,60,"Florida",0.760753678728474,0.747191397764913,23.9246321271526,25.2808602235087,167.706681274002,208.33676325911,127.583474726541,155.667437345392,17.4167711350616,21.3888532668451
32,1779793,"0400000US32",32,"NV","Nevada",0,284537264244,1839662252,-140,20,-73,60,"Nevada",0.789317507418398,0.774880588834077,21.0682492581602,22.5119411165923,194.810762828976,203.38403256183,153.767545734444,157.59833891096,23.1385413487946,23.909909572575998
50,1779802,"0400000US50",50,"VT","Vermont",0,23873081385,1030243281,-140,20,-73,60,"Vermont",0.513698630136986,0.485,48.6301369863014,51.5,45.6159480853018,93.0056640449403,23.4328500438194,45.1077470617961,4.6593266315621396,9.42951438000943
9,1779780,"0400000US09",9,"CT","Connecticut",0,12541688516,1816426151,-140,20,-73,60,"Connecticut",1.02419646081618,1.11493758071459,0.0,0.0,192.5150911252,64.4415156489133,197.173274984134,71.848267555181,21.6257165617532,7.18150060283798
38,1779797,"0400000US38",38,"ND","North Dakota",0,178698456949,4410633765,-140,20,-73,60,"North Dakota",0.94199535962877,0.722513089005236,5.80046403712297,27.748691099476403,166.555028854081,98.5126396616529,156.89406430338,71.1766715880005,19.4231635872014,11.3944817300522
31,1779792,"0400000US31",31,"NE","Nebraska",0,198957373531,1371117957,-140,20,-73,60,"Nebraska",0.993832599118943,0.808030803080308,0.61674008810572,19.1969196919692,115.96566190339,92.5960824420918,115.250455177995,74.8204868577738,12.9877560361597,10.2921195652174
39,1085497,"0400000US39",39,"OH","Ohio",0,105823700104,10274656132,-140,20,-73,60,"Ohio",0.806391018028716,0.846091579338861,19.3608981971284,15.3908420661139,196.653890426652,193.98541245316,158.579930900455,164.129423991194,18.4076754621294,18.0167361048155
28,1779790,"0400000US28",28,"MS","Mississippi",0,121532487805,3915791676,-140,20,-73,60,"Mississippi",0.622067767158992,0.593456819821987,37.7932232841008,40.6543180178013,330.605294753535,281.737869242995,205.658897518272,167.19925990437,30.0379177476551,25.4141957571682
49,1455989,"0400000US49",49,"UT","Utah",0,213355058738,6529987297,-140,20,-73,60,"Utah",0.771663504111322,0.814165623323198,22.8336495888678,18.5834376676802,72.387281571416,83.9548232654117,55.8586233504918,68.3531310148728,12.0960954834103,13.905538836521
54,1779805,"0400000US54",54,"WV","West Virginia",0,62266296765,489206049,-140,20,-73,60,"West Virginia",0.602821276045037,0.574957542071947,39.7178723954963,42.5042457928053,215.85257997887,363.069085707175,130.120527700476,208.749309120506,16.635449632930698,27.8066371871378
40,1102857,"0400000US40",40,"OK","Oklahoma",0,177664190465,3373689316,-140,20,-73,60,"Oklahoma",0.807435186694929,0.721956852658653,19.2564813305071,27.8043147341347,232.052945252456,239.151322242818,187.367713173025,172.65693591558,22.3156132882145,22.8152956252021
45,1779799,"0400000US45",45,"SC","South Carolina",0,77866132568,5074311415,-140,20,-73,60,"South Carolina",0.628791598987648,0.651014879667072,37.1208401012352,34.8985120332928,257.473971524097,245.766223069778,161.897470252337,159.997468138003,25.697201487104298,24.312508948599202
42,1779798,"0400000US42",42,"PA","Pennsylvania",0,115881934065,3397760687,-140,20,-73,60,"Pennsylvania",1.00606926097822,1.10985897758751,0.0,0.0,172.91262865624,122.488131552438,173.962080525985,135.944552451394,16.1314241697802,11.3366449697385
8,1779779,"0400000US08",8,"CO","Colorado",0,268418746964,1185766400,-140,20,-73,60,"Colorado",0.738566423634126,0.690214277529506,26.1433576365874,30.978572247049403,120.612039002423,132.322254042201,89.080002293239,91.3307089748134,17.856518872124898,19.3946263084206
37,1027616,"0400000US37",37,"NC","North Carolina",0,125933025759,13456395178,-140,20,-73,60,"North Carolina",0.660717089767077,0.648016250546399,33.9282910232923,35.1983749453601,182.414236426228,184.536898316757,120.524203423621,119.582908934687,19.8861270713631,19.942568520370198
34,1779795,"0400000US34",34,"NJ","New Jersey",0,19048737655,3533261945,-140,20,-73,60,"New Jersey",0.985511538936196,1.85623293903549,1.44884610638035,0.0,219.670291240027,47.4270603961389,216.487606778521,88.0356717089385,25.630238810691104,5.48368988960271
